TimeStamp,GroundSteering,Oracle,Good,Elapsed
1584543090537081,0.05503,0.0719785,1,47191015
1584543090637617,0.0362293,0.0749791,0,47291551
1584543090738553,0.108647,0.0749791,0,47392487
1584543090837047,0.0789119,0.0749791,1,47490981
1584543090936940,0.0912682,0.0929737,1,47590874
1584543091036863,0.0964668,0.0929737,1,47690797
1584543091137029,0.109269,0.0959743,1,47790963
1584543091238693,0.140104,0.176946,1,47892627
1584543091336814,0.148226,0.281904,0,47990748
1584543091437116,0.139081,0.290888,0,48091050
1584543091536735,0.0964111,0.290888,0,48190669
1584543091637420,0.0354977,0.290888,0,48291354
1584543091739209,0.0318069,0.290888,0,48393143
1584543091836715,0.0223694,0.290888,0,48490649
1584543091936738,0.0866265,0.290888,0,48590672
1584543092036832,0.0477431,-0,0,48690766
1584543092136656,0.00461694,-0.290888,0,48790590
1584543092238819,-0.0965659,-0.290888,0,48892753
1584543092336755,-0.101421,-0.242905,0,48990689
1584543092436807,-0.0950792,-0,0,49090741
1584543092536789,-0.0230282,0.0179946,0,49190723
1584543092637413,0.0203758,-0.113951,0,49291347
1584543092738934,0.0622535,-0,0,49392868
1584543092836508,0.0647879,-0,0,49490442
1584543092939268,0.0703253,0.269911,0,49593202
1584543093036484,0.0996231,0.290888,0,49690418
1584543093136572,0.140322,0.290888,0,49790506
1584543093239119,0.138461,0.290888,0,49893053
1584543093336376,0.105226,-0,0,49990310
1584543093436355,0.0241925,-0,0,50090289
1584543093536530,-0.0180429,-0,0,50190464
1584543093636982,-0.0568455,-0.290888,0,50290916
1584543093738312,0.000345089,-0,0,50392246
1584543093836486,0.0415728,-0,0,50490420
1584543093936242,0.0367143,-0,0,50590176
1584543094036424,0.0315439,-0.290888,0,50690358
1584543094136396,-0.226,-0,0,50790330
1584543094238319,-0.226,-0,0,50892253
1584543094336230,-0.226,-0.152941,0,50990164
1584543094436398,-0.0515503,-0,0,51090332
1584543094536283,-0.0182321,-0,0,51190217
1584543094636790,-0.120456,-0,0,51290724
1584543094738725,-0.0591801,0.290888,0,51392659
1584543094836274,-0.0640875,0.290888,0,51490208
1584543094936239,-0.0242392,-0,0,51590173
1584543095036600,0.0280967,-0,0,51690534
1584543095136016,0.0348285,-0,0,51789950
1584543095238178,-0.00652283,-0,0,51892112
1584543095336485,-0.0882351,-0,0,51990419
1584543095435946,-0.0881631,-0,0,52089880
1584543095535942,-0.0899773,-0,0,52189876
1584543095636834,-0.066589,-0,0,52290768
1584543095738285,-0.0738271,-0.287896,0,52392219
1584543095835902,-0.0735868,-0,0,52489836
1584543095936068,-0.0791617,-0,0,52590002
1584543096036050,-0.0782818,-0,0,52689984
1584543096136073,-0.0757128,-0,0,52790007
1584543096238160,-0.0605722,-0,0,52892094
1584543096336030,-0.0587886,-0,0,52989964
1584543096436038,-0.0531493,-0,0,53089972
1584543096535961,-0.0507771,-0.0509744,1,53189895
1584543096636598,-0.0474302,-0,0,53290532
1584543096737825,-0.0477927,-0,0,53391759
1584543096835966,-0.0455212,-0,0,53489900
1584543096936115,-0.0115619,0.0689779,0,53590049
1584543097035963,0.0255681,0.278903,0,53689897
1584543097135801,0.0638697,0.233921,0,53789735
1584543097238170,0.0679797,0.203933,0,53892104
1584543097335576,0.0759051,0.0779797,1,53989510
1584543097435876,0.086552,0.0539839,0,54089810
1584543097535560,0.103097,0.0869726,1,54189494
1584543097636245,0.112186,0.164943,0,54290179
1584543097738016,0.11048,0.164943,0,54391950
1584543097835622,0.104313,0.128963,1,54489556
1584543097938129,0.0904294,0.0479916,0,54592063
1584543098035845,0.0789072,-0,0,54689779
1584543098135639,0.0666943,-0,0,54789573
1584543098237483,0.0655249,-0,0,54891417
1584543098335606,0.0755126,0.197932,0,54989540
1584543098435409,0.117223,0.203933,0,55089343
1584543098535609,0.155356,0.0719785,0,55189543
1584543098636225,0.18641,0.0749791,0,55290159
1584543098741735,0.104046,0.209934,0,55395669
1584543098836552,0.0624737,0.0749791,1,55490486
1584543098936248,0.019638,0.0599851,0,55590182
1584543099035598,0.0203542,0.0629856,0,55689532
1584543099135419,0.022108,0.0599851,0,55789353
1584543099237333,0.0246626,0.0599851,0,55891267
1584543099335210,0.0621215,0.0599851,1,55989144
1584543099435188,0.130763,0.0929737,0,56089122
1584543099535412,0.152781,0.0929737,0,56189346
1584543099639136,0.165064,0.0929737,0,56293070
1584543099737193,0.128295,0.0959743,0,56391127
1584543099835340,0.10907,0.11396,1,56489274
1584543099935215,0.121161,0.170945,0,56589149
1584543100035085,0.115234,0.170945,0,56689019
1584543100135358,0.113485,0.170945,0,56789292
1584543100237373,0.145003,0.170945,1,56891307
1584543100335142,0.124095,0.137956,1,56989076
1584543100435248,0.117293,0.0719785,0,57089182
1584543100535396,0.0661919,0.0629856,1,57189330
1584543100635603,0.065385,0.0599851,1,57289537
1584543100736853,0.0639701,-0,0,57390787
1584543100834930,0.00534,-0,0,57488864
1584543100934970,-0.0910704,-0,0,57588904
1584543101035143,-0.175731,-0,0,57689077
1584543101135099,-0.158452,-0,0,57789033
1584543101237454,-0.226,-0,0,57891388
1584543101334995,-0.226,0.0809714,0,57988929
1584543101435045,-0.226,0.0599851,0,58088979
1584543101534774,0.0368544,0.0179946,0,58188708
1584543101635725,-0.0186497,0.0179946,0,58289659
1584543101736614,0.0107205,-0,0,58390548
1584543101837507,0.0700658,-0,0,58491441
1584543101934922,0.138362,-0.0779708,0,58588856
1584543102034689,0.163893,-0,0,58688623
1584543102134950,0.137739,-0,0,58788884
1584543102236641,0.162648,-0,0,58890575
1584543102334712,0.132758,-0,0,58988646
1584543102434909,0.0715708,-0,0,59088843
1584543102534907,-0.0643588,-0,0,59188841
1584543102638801,-0.0975889,-0,0,59292735
1584543102736623,-0.0638261,0.185939,0,59390557
1584543102834728,0.0210709,-0,0,59488662
1584543102934689,0.0575342,-0,0,59588623
1584543103034689,0.0562632,0.200933,0,59688623
1584543103134803,0.0886757,0.200933,0,59788737
